RES,INVPLANT,LATITUDE,LONGITUDE,COM_NAME
Brookside,Acer platanoides,41.44676179,-81.72429784,Norway Maple
Cleveland Metroparks Zoo,Acer platanoides,41.44220732,-81.71259328,Norway Maple
Cleveland Metroparks Zoo,Acer platanoides,41.44535263,-81.71061249,Norway Maple
Brecksville,Acer platanoides,41.28494406,-81.58885436,Norway Maple
Bedford,Acer platanoides,41.36172188,-81.5594689,Norway Maple
Mill Stream Run,Acer platanoides,41.32361968,-81.8197307,Norway Maple
Euclid Creek,Acer platanoides,41.55958399,-81.53313568,Norway Maple
Rocky River,Acer platanoides,41.43034827,-81.85397301,Norway Maple
Rocky River,Acer platanoides,41.4134373,-81.88561363,Norway Maple
Mill Stream Run,Acer platanoides,41.35201819,-81.84551169,Norway Maple
South Chagrin,Acer platanoides,41.40894499,-81.42503995,Norway Maple
Bradley Woods,Acer platanoides,41.41812431,-81.94415281,Norway Maple
Rocky River,Acer platanoides,41.44015809,-81.82696623,Norway Maple
Rocky River,Acer platanoides,41.45671024,-81.81942029,Norway Maple
Garfield Park,Acer platanoides,41.4430098,-81.62357521,Norway Maple
Rocky River,Acer platanoides,41.48043551,-81.83044454,Norway Maple
Rocky River,Acer platanoides,41.46617329,-81.8296365,Norway Maple
North Chagrin,Acer platanoides,41.5321933,-81.40991729,Norway Maple
South Chagrin,Acer platanoides,41.43465549,-81.41721082,Norway Maple
Bradley Woods,Acer platanoides,41.42283713,-81.9586495,Norway Maple
South Chagrin,Acer platanoides,41.43939891,-81.40213763,Norway Maple
Euclid Creek,Acer platanoides,41.55145622,-81.52895322,Norway Maple
Huntington,Acer platanoides,41.48759238,-81.93576244,Norway Maple
Rocky River,Acer platanoides,41.44770561,-81.83737029,Norway Maple
Big Creek,Acer platanoides,41.37632737,-81.84038322,Norway Maple
Brecksville,Aegopodium podagraria,41.31728398,-81.59776693,Bishop's Goutweed
Brecksville,Aegopodium podagraria,41.31659684,-81.59241004,Bishop's Goutweed
South Chagrin,Aegopodium podagraria,41.43625578,-81.41014363,Bishop's Goutweed
South Chagrin,Aegopodium podagraria,41.43231373,-81.41457423,Bishop's Goutweed
South Chagrin,Aegopodium podagraria,41.43538575,-81.41344109,Bishop's Goutweed
South Chagrin,Aegopodium podagraria,41.43152578,-81.41715632,Bishop's Goutweed
Euclid Creek,Aegopodium podagraria,41.55189008,-81.53071362,Bishop's Goutweed
Rocky River,Aegopodium podagraria,41.4708111,-81.82426353,Bishop's Goutweed
Brecksville,Aegopodium podagraria,41.31929194,-81.60646734,Bishop's Goutweed
North Chagrin,Aegopodium podagraria,41.54376567,-81.41485942,Bishop's Goutweed
Brecksville,Aegopodium podagraria,41.31774155,-81.59245186,Bishop's Goutweed
North Chagrin,Aegopodium podagraria,41.57120807,-81.41581787,Bishop's Goutweed
Ohio & Erie Canal,Ailanthus altissima,41.43930652,-81.67219614,Tree of Heaven
Brookside,Ailanthus altissima,41.4489228,-81.7294966,Tree of Heaven
Brookside,Ailanthus altissima,41.44677697,-81.7247001,Tree of Heaven
Garfield Park,Ailanthus altissima,41.44492439,-81.62707314,Tree of Heaven
Cleveland Metroparks Zoo,Ailanthus altissima,41.44410361,-81.71218697,Tree of Heaven
Rocky River,Ailanthus altissima,41.39877,-81.88129,Tree of Heaven
Cleveland Metroparks Zoo,Ailanthus altissima,41.44398554,-81.71127585,Tree of Heaven
Bedford,Ailanthus altissima,41.38399903,-81.52725201,Tree of Heaven
Euclid Creek,Ailanthus altissima,41.55171504,-81.53038061,Tree of Heaven
Euclid Creek,Ailanthus altissima,41.56645068,-81.53467965,Tree of Heaven
Big Creek,Ailanthus altissima,41.36188715,-81.82953253,Tree of Heaven
Bedford,Ailanthus altissima,41.37305822,-81.50599207,Tree of Heaven
Bedford,Ailanthus altissima,41.38484521,-81.52516569,Tree of Heaven
Bedford,Ailanthus altissima,41.38472669,-81.52343134,Tree of Heaven
Mill Stream Run,Ailanthus altissima,41.30714646,-81.79443007,Tree of Heaven
Euclid Creek,Ailanthus altissima,41.55935036,-81.53315025,Tree of Heaven
Rocky River,Ailanthus altissima,41.41553304,-81.87238196,Tree of Heaven
Rocky River,Ailanthus altissima,41.48066019,-81.83032013,Tree of Heaven
Garfield Park,Ailanthus altissima,41.4324848,-81.60557522,Tree of Heaven
Huntington,Ailanthus altissima,41.48799219,-81.93659289,Tree of Heaven
Rocky River,Ailanthus altissima,41.4484983,-81.83912364,Tree of Heaven
Ohio & Erie Canal,Alliaria petiolata,41.42698004,-81.66406987,Garlic Mustard
Ohio & Erie Canal,Alliaria petiolata,41.41762382,-81.63928363,Garlic Mustard
Ohio & Erie Canal,Alliaria petiolata,41.41828283,-81.63742715,Garlic Mustard
Rocky River,Alliaria petiolata,41.39384548,-81.87990163,Garlic Mustard
Rocky River,Alliaria petiolata,41.39370559,-81.8850339,Garlic Mustard
Cleveland Metroparks Zoo,Alliaria petiolata,41.44230674,-81.7157487,Garlic Mustard
Rocky River,Alliaria petiolata,41.37847268,-81.86583045,Garlic Mustard
Cleveland Metroparks Zoo,Alliaria petiolata,41.44336339,-81.71113783,Garlic Mustard
Rocky River,Alliaria petiolata,41.45175098,-81.83266316,Garlic Mustard
Bradley Woods,Alliaria petiolata,41.41301429,-81.94614055,Garlic Mustard
Bradley Woods,Alliaria petiolata,41.41891549,-81.95496207,Garlic Mustard
Bradley Woods,Alliaria petiolata,41.42267583,-81.95190743,Garlic Mustard
Brecksville,Alliaria petiolata,41.31864547,-81.61481729,Garlic Mustard
Brecksville,Alliaria petiolata,41.31369568,-81.60135068,Garlic Mustard
Hinckley,Alliaria petiolata,41.210227,-81.710532,Garlic Mustard
Rocky River,Alliaria petiolata,41.4190925,-81.85970348,Garlic Mustard
Bradley Woods,Alliaria petiolata,41.41713769,-81.94866845,Garlic Mustard
Ohio & Erie Canal,Alliaria petiolata,41.40819349,-81.62816926,Garlic Mustard
Brecksville,Alliaria petiolata,41.31776276,-81.60547717,Garlic Mustard
South Chagrin,Alliaria petiolata,41.43604785,-81.40987784,Garlic Mustard
Mill Stream Run,Alliaria petiolata,41.34469575,-81.83576493,Garlic Mustard
Other Residential,Alliaria petiolata,41.29415808,-81.7588796,Garlic Mustard
Euclid Creek,Alliaria petiolata,41.56653607,-81.53446334,Garlic Mustard
Big Creek,Alliaria petiolata,41.40892713,-81.75362942,Garlic Mustard
Big Creek,Alliaria petiolata,41.408975,-81.75342801,Garlic Mustard
Rocky River,Alliaria petiolata,41.40566582,-81.88947186,Garlic Mustard
Rocky River,Alliaria petiolata,41.38651673,-81.8632608,Garlic Mustard
Bedford,Alliaria petiolata,41.37513934,-81.57354176,Garlic Mustard
Hinckley,Alliaria petiolata,41.219791,-81.731777,Garlic Mustard
Hinckley,Alliaria petiolata,41.21878373,-81.69139951,Garlic Mustard
South Chagrin,Alliaria petiolata,41.43257043,-81.41449491,Garlic Mustard
Garfield Park,Alliaria petiolata,41.4326997,-81.60771126,Garlic Mustard
Rocky River,Alliaria petiolata,41.39924021,-81.88399511,Garlic Mustard
Hinckley,Alliaria petiolata,41.211768,-81.717336,Garlic Mustard
Rocky River,Alliaria petiolata,41.40254208,-81.89126109,Garlic Mustard
Rocky River,Alliaria petiolata,41.40362566,-81.89267401,Garlic Mustard
South Chagrin,Alliaria petiolata,41.42373377,-81.42104854,Garlic Mustard
Ohio & Erie Canal,Alliaria petiolata,41.428997,-81.667556,Garlic Mustard
Big Creek,Alliaria petiolata,41.4448787,-81.75536898,Garlic Mustard
Hinckley,Alliaria petiolata,41.22165444,-81.70480678,Garlic Mustard
Rocky River,Alliaria petiolata,41.45858385,-81.82104498,Garlic Mustard
Rocky River,Alliaria petiolata,41.41158981,-81.88420062,Garlic Mustard
